                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.90329,                0.50044,                 1.0852,                0.97807,                0.98504,                0.98625,                0.70113,                  1.128,                0.43229,                  1.361,             0.00024619,             0.00024619,             0.00024619
                     82,                0.90402,                0.50933,                 1.0888,                0.97365,                0.98157,                0.98616,                 0.7046,                 1.1453,                0.44591,                 1.3786,             0.00024509,             0.00024509,             0.00024509
                     83,                0.91109,                0.50073,                 1.0916,                0.97498,                  0.976,                0.98615,                0.70695,                 1.1183,                0.44325,                 1.3542,             0.00024399,             0.00024399,             0.00024399
                     84,                0.91364,                  0.505,                 1.0956,                0.97667,                0.97944,                0.98725,                0.69743,                 1.1347,                0.44275,                 1.4127,             0.00024289,             0.00024289,             0.00024289
                     85,                0.90375,                0.49329,                 1.0936,                0.97444,                0.98119,                0.98204,                0.70364,                 1.1379,                0.44511,                  1.386,             0.00024179,             0.00024179,             0.00024179
                     86,                0.89531,                 0.4954,                 1.0872,                0.97736,                0.98261,                0.98469,                0.70247,                 1.1373,                0.44442,                 1.3764,             0.00024069,             0.00024069,             0.00024069
                     87,                0.89188,                0.50375,                 1.0857,                0.96742,                0.98326,                0.98768,                 0.7056,                 1.1238,                0.44237,                  1.386,             0.00023959,             0.00023959,             0.00023959
                     88,                 0.8895,                0.48699,                 1.0877,                0.97863,                0.98134,                0.98704,                0.70999,                 1.1206,                0.44045,                 1.3781,             0.00023849,             0.00023849,             0.00023849
                     89,                0.88613,                0.49268,                 1.0771,                0.97129,                 0.9736,                0.98535,                0.71085,                 1.1137,                0.44165,                 1.3932,              0.0002374,              0.0002374,              0.0002374
                     90,                0.87164,                 0.4892,                 1.0711,                 0.9711,                0.97982,                0.98752,                0.70802,                 1.1248,                0.44329,                 1.3762,              0.0002363,              0.0002363,              0.0002363
                     91,                0.88807,                0.49749,                 1.0789,                0.97761,                0.98334,                0.98794,                0.70983,                 1.1191,                0.43966,                 1.3764,              0.0002352,              0.0002352,              0.0002352
                     92,                0.87663,                0.48617,                 1.0794,                0.97753,                0.98275,                0.98716,                0.70631,                 1.1289,                0.43969,                  1.382,              0.0002341,              0.0002341,              0.0002341
                     93,                0.86137,                0.48792,                 1.0659,                0.97282,                0.98523,                0.98791,                0.70995,                 1.1206,                0.43376,                 1.3897,               0.000233,               0.000233,               0.000233
                     94,                0.85889,                0.47934,                 1.0693,                 0.9671,                0.98589,                0.98768,                 0.7014,                 1.1416,                0.43936,                 1.4145,              0.0002319,              0.0002319,              0.0002319
